scrape_id,store,product_name,brand,current_price,original_price,currency,product_type,category,subcategory,weight_value,weight_unit,discount,product_url,availability,scraped_at
414,Seoudi Supermarket,La Vache Qui Rit Istanbouli Cheese,La Vache Qui Rit,124.95,,EGP,Cheese,Cheese & Labneh,Istanbuli,450,g,,https://seoudisupermarket.com/en/la-vache-qui-rit-istanbouli-cheese-450-g,Out of Stock,9/14/2026 18:46
415,Seoudi Supermarket,Almarai Fresh Labneh,Almarai,102.95,,EGP,Labneh,Cheese & Labneh,Labneh,250,g,,https://seoudisupermarket.com/en/almarai-fresh-labneh-250-g,Out of Stock,9/14/2026 18:46
416,Seoudi Supermarket,Puck Squeez Cream Cheese Spread,Puck,409.95,500,EGP,Cheese,Cheese & Labneh,Cream Cheese,400,g,18,https://seoudisupermarket.com/en/puck-squeez-cream-cheese-spread-400-g,Out of Stock,9/14/2026 18:46
417,Seoudi Supermarket,Avanti Natural Cheese Mix,Avanti,110,127.5,EGP,Cheese,Cheese & Labneh,,300,g,14,https://seoudisupermarket.com/en/avanti-natural-mozzarella-cheese-mix-300g,Out of Stock,9/14/2026 18:46
418,Seoudi Supermarket,La Vache Qui Rit Cheddar Cheese Slices,La Vache Qui Rit,314.95,,EGP,Cheese,Cheese & Labneh,,24,pieces,,https://seoudisupermarket.com/en/la-vache-qui-rit-cheddar-cheese-slices-24-pieces,Out of Stock,9/14/2026 18:46
419,Seoudi Supermarket,La Vache Qui Rit Chedder Cheese Slices,La Vache Qui Rit,164.95,,EGP,Cheese,Cheese & Labneh,,12,pieces,,https://seoudisupermarket.com/en/la-vache-qui-rit-chedder-cheese-slices-12-pieces,Out of Stock,9/14/2026 18:46
420,Seoudi Supermarket,La Vache Qui Rit Cheese Slices for Burgers,La Vache Qui Rit,164.95,,EGP,Cheese,Cheese & Labneh,,12,pieces,,https://seoudisupermarket.com/en/la-vache-qui-rit-cheese-slices-for-burgers-12-pieces,Out of Stock,9/14/2026 18:46
421,Seoudi Supermarket,Almarai Istanbuli Cheese,Almarai,115.5,126.5,EGP,Cheese,Cheese & Labneh,Istanbuli,450,g,9,https://seoudisupermarket.com/en/almarai-istanbuli-cheese-450-g,Out of Stock,9/14/2026 18:46
422,Seoudi Supermarket,La Vache Qui Rit Classic Triangle Cheese,La Vache Qui Rit,186,,EGP,Cheese,Cheese & Labneh,Triangle Cheese,40,pieces,,https://seoudisupermarket.com/en/la-vache-qui-rit-classic-triangle-cheese-40-pieces,Out of Stock,9/14/2026 18:46
423,Seoudi Supermarket,Avanti Natural Mozzarella Cheese,Avanti,110,127.5,EGP,Cheese,Cheese & Labneh,Mozzarella,300,g,14,https://seoudisupermarket.com/en/avanti-natural-mozzarella-cheese-300-g,Out of Stock,9/14/2026 18:46
424,Seoudi Supermarket,Almarai Soft White Cheese,Almarai,115.5,126.5,EGP,Cheese,Cheese & Labneh,White Cheese,450,g,9,https://seoudisupermarket.com/en/almarai-feta-cheese-450-g,Out of Stock,9/14/2026 18:46
425,Seoudi Supermarket,Panda Feta Cheese with Pastrami Flavor,Panda,53.5,,EGP,Cheese,Cheese & Labneh,Feta,500,g,,https://seoudisupermarket.com/en/panda-feta-cheese-with-pastrami-flavor-500-g,Out of Stock,9/14/2026 18:46
426,Seoudi Supermarket,Greek Feta Cheese in Oil,,149,,EGP,Cheese,Cheese & Labneh,Feta,200,g,,https://seoudisupermarket.com/en/greek-feta-cheese-200-g,Out of Stock,9/14/2026 18:46
427,Seoudi Supermarket,Domty Gold Feta Emmental Cheese,Domty,45.75,57.5,EGP,Cheese,Cheese & Labneh,Emmental,250,g,20,https://seoudisupermarket.com/en/domty-gold-feta-emmental-cheese-250-g,Out of Stock,9/14/2026 18:46
428,Seoudi Supermarket,Virgilio Mascarpone,Virgilio,355,,EGP,Cheese,Cheese & Labneh,Mascarpone,500,g,,https://seoudisupermarket.com/en/virgilio-mascarpone-500-g,Out of Stock,9/14/2026 18:46
